[Wed Nov 22 15:10:51.760362 2017] [:error] [pid 2722] [client 10.0.2.2:51501] PHP Parse error:  syntax error, unexpected '}', expecting end of file in /vagrant/wordpress/Portland/wp-content/themes/portland/functions.php on line 61, referer: http://localhost/Portland/wp-admin/customize.php?url=http%3A%2F%2Flocalhost%2FPortland%2F
[Mon Nov 27 11:08:56.733528 2017] [:error] [pid 3130] [client 10.0.2.2:58012] PHP Parse error:  syntax error, unexpected ':' in /vagrant/wordpress/Portland/wp-content/themes/portland/index.php on line 30, referer: http://localhost/
[Mon Nov 27 11:09:37.036199 2017] [:error] [pid 3129] [client 10.0.2.2:58024] PHP Parse error:  syntax error, unexpected end of file in /vagrant/wordpress/Portland/wp-content/themes/portland/index.php on line 47
[Mon Nov 27 11:11:47.495833 2017] [:error] [pid 3132] [client 10.0.2.2:58033] PHP Parse error:  syntax error, unexpected end of file in /vagrant/wordpress/Portland/wp-content/themes/portland/index.php on line 47
[Mon Nov 27 11:23:03.279154 2017] [:error] [pid 3131] [client 10.0.2.2:58116] PHP Parse error:  syntax error, unexpected '}' in /vagrant/wordpress/Portland/wp-content/themes/portland/index.php on line 37
[Mon Nov 27 11:23:16.951314 2017] [:error] [pid 3143] [client 10.0.2.2:58130] PHP Parse error:  syntax error, unexpected '}' in /vagrant/wordpress/Portland/wp-content/themes/portland/index.php on line 37
[Mon Nov 27 11:23:30.082313 2017] [:error] [pid 3129] [client 10.0.2.2:58143] PHP Parse error:  syntax error, unexpected '}' in /vagrant/wordpress/Portland/wp-content/themes/portland/index.php on line 37
[Mon Nov 27 11:25:09.767963 2017] [:error] [pid 3129] [client 10.0.2.2:58167] PHP Parse error:  syntax error, unexpected '}' in /vagrant/wordpress/Portland/wp-content/themes/portland/index.php on line 35
[Mon Nov 27 11:25:18.218527 2017] [:error] [pid 3130] [client 10.0.2.2:58168] PHP Parse error:  syntax error, unexpected '}' in /vagrant/wordpress/Portland/wp-content/themes/portland/index.php on line 35
[Mon Nov 27 11:26:07.356900 2017] [:error] [pid 3141] [client 10.0.2.2:58183] PHP Parse error:  syntax error, unexpected '}' in /vagrant/wordpress/Portland/wp-content/themes/portland/index.php on line 35
[Mon Nov 27 11:26:33.439253 2017] [:error] [pid 3145] [client 10.0.2.2:58192] PHP Parse error:  syntax error, unexpected '}' in /vagrant/wordpress/Portland/wp-content/themes/portland/index.php on line 35
